A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1486.76,-2084.93,755.41,1.8607747554779053
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1529.55,-1840.2,786.05,1.8632962703704834
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1420.01,-2028.72,719.49,1.8644731044769287
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1536.68,-1752.35,797.76,1.86643385887146
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1395.44,-1593.17,705.02,1.8681695461273193
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1472.43,-1468.5,762.09,1.870868444442749
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1454.03,-1675.14,754.05,1.8710591793060303
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1391.19,-1772.99,725.85,1.875558614730835
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1478.41,-1831.16,790.32,1.8770902156829834
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1510.2,-1659.58,808.55,1.8772122859954834
1650.0,880.0,1220.0,537.5,2647.5,702.0,1429.86,1904.3,784.45,1.9339406490325928
1650.0,880.0,1220.0,537.5,2647.5,702.0,1294.61,2028.09,702.13,1.9373795986175537
1650.0,880.0,1220.0,537.5,2647.5,702.0,1378.81,1522.66,768.8,1.9378125667572021
1650.0,880.0,1220.0,537.5,2647.5,702.0,1271.65,1888.24,711.45,1.9456918239593506
1650.0,880.0,1220.0,537.5,2647.5,702.0,1507.65,2114.67,876.21,1.9496228694915771
1650.0,880.0,1220.0,537.5,2647.5,702.0,1381.03,1814.45,798.68,1.9502294063568115
1650.0,880.0,1220.0,537.5,2647.5,702.0,1236.43,1868.28,705.43,1.9515454769134521
